SpectraSyn PAO 2,0.798,5.0,1.7,1.0,1.0,1.02
SpectraSyn PAO 4,0.82,19.0,4.1,1.0,1.0,1.02
SpectraSyn PAO 40,0.85,396.0,39.0,1.0,1.0,1.02
SpectraSyn PAO 6,0.827,31.0,5.8,1.0,1.0,1.02
SpectraSyn PAO 8,0.833,48.0,8.0,1.0,1.0,1.02
Star 12,0.8735,110.0,12.1,1.0,1.0,1.02
Star 3,0.8438,12.0,3.0,1.0,1.0,1.02
Star 4,0.855,20.8,4.2,1.0,1.0,1.02
Star 5+,0.8468,23.7,4.7,1.0,1.0,1.02
Star 6,0.868,42.1,6.39,1.0,1.0,1.02
Star 8,0.8671,56.4,7.8,1.0,1.0,1.02
Sun 160N,0.864,32.0,5.33,1.0,1.0,1.02
Sun 600N,0.886,120.0,13.0,1.0,1.0,1.02
Sun ATF I,0.8545,14.0,3.2,1.0,1.0,1.02
Sun ATF L,0.8561,15.08,3.36,1.0,1.0,1.02
Synfluid PAO 100,0.853,1250.0,100.0,1.0,1.0,1.02
Synfluid PAO 2,0.798,5.1,1.7,1.0,1.0,1.02
Synfluid PAO 4,0.819,16.8,3.9,1.0,1.0,1.02
Synfluid PAO 6,0.827,30.5,5.8,1.0,1.0,1.02
Tufflo 2000,0.9266,388.41,20.0,1.0,1.0,1.02
Ultra-S 2,0.825,7.269,2.201,1.0,1.0,1.02
Ultra-S 3,0.83,13.2,3.26,1.0,1.0,1.02
Ultra-S 4,0.836,19.64,4.25,1.0,1.0,1.02
Ultra-S 5,0.8352,26.4,5.26,1.0,1.0,1.02
Ultra-S 8,0.847,43.89,7.234,1.0,1.0,1.02
Universal 110N,0.8546,21.7,4.28,1.0,1.0,1.02
Universal 250N,0.8612,51.98,7.54,1.0,1.0,1.02
Valero 165,0.8764,32.8,5.4,1.0,1.0,1.02
Valero 250,0.8778,50.0,7.15,1.0,1.0,1.02
Valero 330i,0.8877,64.9,8.4,1.0,1.0,0.28
Valero 500,0.8836,91.5,10.5,1.0,1.0,1.02
Valero 600i,0.8905,112.75,11.9,1.0,1.0,1.02
Valero BS150,0.9071,477.5,31.65,1.0,1.0,1.02
Valero SN 700,0.8984,140.9,14.0,1.0,1.0,1.02
Valero SN150,0.8745,29.0,5.0,1.0,1.0,1.02
XOM 330N,0.885,60.0,8.22,1.0,1.0,1.02
XOM BS150,0.8974,465.0,31.0,1.0,1.0,1.02
XOM Core 150,0.864,31.0,5.2,1.0,1.0,1.02
XOM Core 2500,0.898,490.0,31.65,1.0,1.0,1.02
XOM Core 600,0.886,112.75,12.0,1.0,1.0,1.02
XOM Ester,0.915,27.25,5.3,1.0,1.0,1.02
Yubase 3,0.8299,12.43,3.12,1.0,1.0,1.02
Yubase 4,0.836,19.6,4.24,1.0,1.0,1.02
Yubase 4+,0.8245,18.2,4.13,1.0,1.0,0.0
Yubase 5,0.836,24.3,5.0,1.0,1.0,1.02
Yubase 6,0.843,36.25,6.36,1.0,1.0,1.02
Yubase 8,0.8594,47.0,7.6,1.0,1.0,1.02
